Tracking Nos.,Client Nos.,Comments
9114902200789659810412,23126.02,Stack 1
9114902200789659710238,02541.02,Source Docs; Stack 1
9114902200789659810320,94890.02,Stack 1
9114902200789659810290,23126.02,Stack 1
9114902200789659810306,25519.02,Stack 1
9114902200852116737802,00442.02,Stack 1
9114902200852453171765,28948.02,Stack 1
70211970000045308856,91265.02,Here before me
70211970000045307965,22317.02,Notice CP126A; Here before me
70191640000164106507,49300.02,Form 4868; Slip Only
70196140000164105869,60475.02,4868 and check; Stack 2
70191640000164105913,17335.2,Form 4868; Stack 2
70191640000164105265,82782.02,Form 7004; Stack 2
70192280000060190616,25938.02,Form 7004N Ext; Stack 2
70191640000164105647,82275.02,Form 7004; Stack 2
70191640000164106545,36568.02,Form 4868; Stack 2
70191640000164106491,84384.02,Form 4868; Stack 3
70191640000164106446,79902.02,Form 4868; Stack 3
70191640000164106439,54835.02,Form 4868; Stack 3
70191640000164106323,52432.02,Form 4868; Stack 3
70191640000164106361,46065.02,Form 4868; Stack 3
70191640000164106378,04455.02,Form 4868; Stack 3
70191640000164106286,60290.02,Form 4868; Stack 3
70191640000164106224,04291.02,2023 Voucher 1; Stack 3
70191640000164106194,76088.02,Form 4868; Stack 3
70191640000164106200,52955.02,Form 4868; Stack 3
70191640000164106170,38491.02,Form 4868; Stack 3
70191640000164106118,79029.02,Form 1040V; Stack 3
70191640000164106101,36026.2,Form 4868; Stack 3
70191640000164106095,42649.02,Form 4868; Stack 3
70191640000164106088,82731.02,Form 4868; Stack 3
70192280000060192504,90800.02,Form 4868; Stack 3
70192280000060192498,36021.02,Form 4868; Stack 3
70191640000164106019,27852.02,Form 4868; Stack 3
70192280000060192221,75555.02,Form 4868; Stack 4
70192280000060192177,70284.02,Form 4868; Stack 4
70191640000164105838,82071.02,Form 4868; Stack 4
70191640000164105746,56076.02,Form 1040ES V1; Stack 4
70191640000164105715,02109.02,Form 4868; Stack 4
70191640000164105708,94838.02,Form 4868; Stack 4
70191640000164105692,94843.02,Form 4868; Stack 4
70192280000060192436,75805.02,Form 4868; Stack 4
70192280000060192429,00181.02,Form 4868; Stack 4
70192280000060192337,84672.02,Form 1040ES V1; Stack 4
70192280000060192313,21251.02,Form 4868; Stack 4
70192280000060192320,20357.02,Form 4868; Stack 4
70192280000060192306,74497.02,1040ES V1; Stack 4
70192280000060192290,21251.02,Form 1040ES V1; Stack 4
70192280000060192283,18994.02,Form 1040ES; Stack 4
70192280000060192252,72589.02,Form 4868; Stack 4
70192280000060192269,00468.02,Form 4868; Stack 4
70192280000060192214,40622.02,Form 4868; Stack 4
70192280000060192207,83686.02,Form 4868; Stack 4
70192280000060192184,15305.02,Form 4868; Stack 4
70192280000060192160,24728.02,Form 4868; Stack 4
70192280000060192146,55567.02,Form 4868; Stack 4
70192280000060192153,55568.02,Form 4868; Stack 4
70192280000060192351,45930.02,Form 4868; Stack 4
70192280000060192139,55569.02,Form 4868; Stack 4
70192280000060192115,05842.02,Form 4868; Stack 4
70192280000060192085,05842.02,Form 1040ES April Payment; Stack 4
70192280000060192054,56148.02,Form 4868; Stack 4
70192280000060192061,40955.02,Form 4868; Stack 4
70192280000060192030,23005.02,Form 4868; Stack 4
70192280000060192047,75837.02,Form 4868; Stack 4
70192280000060192009,36900.02,Form 4868; Stack 4
70192280000060191996,09568.02,Form 4868; Stack 4
70192280000060191989,05844.02,Form 4868; Stack 4
70192280000060191033,62764.02,Form 4868; Stack 4
70192280000060190906,09941.02,2023 1040V; Stack 4
70192280000060190890,33905.02,2022 1040V; Stack 4
70191640000164105944,12690.02,Form 4868; Stack 4
9589071052701128330182,12710.02,1040ES Voucher 2
9114902200852144849263,14300.02,Source Docs
70211970000045302830,48685.02,Copies of 105C Letter and Form 2848
9589071052701128331486,25106.02,2nd TFTR Ext
70211970000045303103,05846.02,LA Tax Voucher Payment
9114901230803154974593,22358.02,Source Docs
9114901230803154974852,34514.02,Form 1040 and Source Docs
70211970000045302830,,Copies of 105CLetter and 2848; no Receipt
9114901230803154974937,50598.02,Copy of Letter 3174-A to client
9589071052701128331769,02921.02,Response to Notice CP162A
9589071052701128331745,35217.02,Response to Notice CP282
9589071052701128331752,35217.02,Response to Notice CP162A
958907105270112831639,06602.02,Butler Co. Occupational
9114901230801247550051,91280.02,Source Docs
9114901230801247550150,19683.02,Source Docs
9114901230801247550358,31862.02,Source Docs
9589071052701129248684,73876.02,2023 Form 1120H
70212720000008510283,37455.02,2023 Form 1040
9589017052701129248738,99313.02,2024 Voucher 3
9114901230801247551119,45781.02,Source Docs
9589071052701129248851,50524.02,Medicare Adjustment
9589071052701129248769,49122.02,2023 Form 1040V
9589071052701129248950,01031.02,Form 8854
9114901230801247551249,50881.02,Source Docs
9114901230801247551256,22955.02,Source Docs
9114901230801247551263,31487.02,Source Docs
9114901230801247551287,76997.02,Return and Source Docs
9589071052701129249070,17355.02,2023 Form 1040V
70211970000045303417,91306.200,2023 Form 1040
70212720000008510290,40622.02,2023 Form 1040V
9589071052701129249063,52955.200,2023 Form 1040V
9589071052701129249056,52955.02,2023 Form 1040
9589071052701129249049,52955.02,LA Return IT-540B
9589071052701129249452,21985.02,Form 1120POL
9589071052701129249445,21980.02,Form 3520
70211970000045303400,52385.02,2023 Form 709
9589071052701129249438,46610.02,AZ Form 140NR
9589071052701129249032,26540.02,TFTR Form 05-102
9589071052701129249025,60392.02,2023 Form 2023
9589071052701129249018,05842.02,1040ES Oct Payment
9589071052701129249001,05842.02,LA ES Oct Payment
9589071052701129248981,05844.02,Form 1040ES Oct Payment
9589071052701129248998,05844.02,LA ES Oct Payment
9589071052701128330267,79580.02,2023 Form 1040V
9589071052701128332148,18549.8064,2023 Form 1040V
9589071052701128332292,05844.02,2023 Form 1040V
9589071052701128332315,05842.02,LA Form 2023 E
9589071052701128332308,05842.02,2023 Form 1040V
9114901230801247551300,38150.02,Additional Source Docs
9114901230801247551317,01499.02,Source Docs
9114901230801247551324,07651.02,Source Docs
9114901230801247551355,17480.02,Source Docs
9114901230801247551362,24811.02,Source Docs
9114901230801247551386,34349.02,Source Docs
9114901230801247551393,34349.202,Source Docs
9114901230801247551416,55586.02,Source Docs
9114901230801247551423,54285.02,Source Docs
9114901230801247551430,54156.02,Source Docs
9114901230801247551447,64730.02,Source Docs
9114901230801247551478,35946.201,Source Docs
9589071052701129253008,16391.201,Ky Form 720 2023
9589071052701129252995,16931.201,AR Form 1100 CT
9589071052701129252988,16932.02,2023 NM Form CIT-1
9589071052701129252971,16932.02,2023 NE Form 1120N
9589071052701129252964,38890.02,2023 Form 1040V
9589071052701129252957,56772.02,2023 Form 1040V
9589071052701129252940,63040.02,2023 Form 709
9589071052701129252933,38491.02,2023 Form 1040V
9589071052701129252926,94839.02,2023 Form 1040V
70212720000008510306,12013.02,2023 Form 709
9589071052701129252919,27852.02,2023 1040V
9589071052701129252902,60290.02,OK 511-V 2023
9589071052701129252896,60290.02,2023 Form 1040V
9589071052701129252889,51790.02,1040 ES Voucher 3
9589071052701129252865,58992.02,2023 Form 1040V
9589071052701129252872,70811.02,2023 Form 1040V
9589071052701129248974,76456.02,2023 Form 1040
9589071052701129249094,76397.02,2023 Form 1040V
9589071052701129249087,94870.02,2023 Form 1040V
9114901230801247551218,89722.02,Source Docs
9114901230801247551201,70600.02,Source Docs
9114901230801247551553,29132.02,Source Docs
9114901230801247551560,91329.02,Source Docs
9114901230801247551577,54156.02,Add'l Source Docs
